Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE
Date,,,,,,
2014-07-13,15266.599609375,15266.599609375,15291.2001953125,15057.400390625,15125.099609375,784998900
2014-07-20,15455.0,15455.0,15503.400390625,15208.7998046875,15266.400390625,688129100
2014-07-27,15215.2998046875,15215.2998046875,15527.2998046875,15130.900390625,15452.2998046875,837518000
2014-08-03,15196.2998046875,15196.2998046875,15254.7998046875,15056.099609375,15215.900390625,632751700
2014-08-10,15304.2001953125,15304.2001953125,15319.900390625,15182.099609375,15196.2998046875,706358900
2014-08-17,15535.599609375,15535.599609375,15574.2001953125,15304.2001953125,15304.2001953125,602334000
2014-08-24,15625.7001953125,15625.7001953125,15653.400390625,15516.5,15535.900390625,622395800
2014-08-31,15569.900390625,15569.900390625,15685.099609375,15525.2001953125,15626.900390625,610375100
2014-09-07,15531.599609375,15531.599609375,15580.5,15432.2998046875,15569.900390625,743739700
2014-09-14,15265.400390625,15265.400390625,15556.2001953125,15238.0,15530.900390625,1111403000
2014-09-21,15026.7998046875,15026.7998046875,15266.099609375,14821.7001953125,15259.400390625,891958800
2014-09-28,14789.7998046875,14789.7998046875,15047.099609375,14545.599609375,14976.2001953125,1001988800
2014-10-05,14227.400390625,14227.400390625,14878.7001953125,14188.7998046875,14829.599609375,1072533600
2014-10-12,14227.7001953125,14227.7001953125,14297.2001953125,13646.7998046875,14185.2001953125,1069468500
2014-10-19,14543.7998046875,14543.7998046875,14584.2998046875,14180.099609375,14240.099609375,872178100
2014-10-26,14613.2998046875,14613.2998046875,14641.2998046875,14385.2998046875,14526.0,964032800
2014-11-02,14690.7998046875,14690.7998046875,14712.099609375,14327.0,14632.2001953125,1075515500
2014-11-09,14843.099609375,14843.099609375,14890.7998046875,14671.7001953125,14729.099609375,970808800
2014-11-16,15111.099609375,15111.099609375,15184.400390625,14825.900390625,14825.900390625,991832100
2014-11-23,14744.7001953125,14744.7001953125,15132.599609375,14743.900390625,15121.400390625,971021200
2014-11-30,14473.7001953125,14473.7001953125,14789.0,14435.0,14753.5,1284225700
2014-12-07,13731.099609375,13731.099609375,14410.099609375,13713.2001953125,14410.099609375,1406218900
2014-12-14,14468.2998046875,14468.2998046875,14530.5,13635.5,13758.2998046875,2227839500
2014-12-21,14609.2998046875,14609.2998046875,14645.099609375,14395.400390625,14494.599609375,447153400
2014-12-28,14753.7001953125,14753.7001953125,14756.2998046875,14555.7001953125,14634.2998046875,486549400
2015-01-04,14384.900390625,14384.900390625,14709.0,14162.0,14709.0,1174210300
2015-01-11,14309.400390625,14309.400390625,14378.2998046875,13892.599609375,14378.2998046875,1473148100
2015-01-18,14779.400390625,14779.400390625,14853.2998046875,14195.400390625,14307.7001953125,1170293300
2015-01-25,14673.5,14673.5,14852.7001953125,14392.599609375,14787.7001953125,1227911200
2015-02-01,15083.900390625,15083.900390625,15204.5,14713.900390625,14713.900390625,1263447600
2015-02-08,15264.7998046875,15264.7998046875,15339.5,14977.2001953125,15084.900390625,1092562600
2015-02-15,15172.2001953125,15172.2001953125,15349.0,15099.900390625,15249.0,814754700
2015-02-22,15234.2998046875,15234.2998046875,15333.599609375,15120.7998046875,15127.599609375,1122498800
2015-03-01,14952.5,14952.5,15283.7001953125,14910.2998046875,15240.900390625,1006707500
2015-03-08,14731.5,14731.5,14964.599609375,14606.2001953125,14964.599609375,938158400
2015-03-15,14942.400390625,14942.400390625,15028.0,14719.2998046875,14733.5,1246550400
2015-03-22,14812.400390625,14812.400390625,15161.599609375,14717.7001953125,14962.900390625,918521700
2015-03-29,15026.599609375,15026.599609375,15070.2998046875,14813.7001953125,14855.400390625,714496100
2015-04-05,15388.400390625,15388.400390625,15406.099609375,15016.5,15028.7001953125,913302300
2015-04-12,15360.599609375,15360.599609375,15524.7998046875,15275.5,15401.2998046875,960116000
2015-04-19,15408.2998046875,15408.2998046875,15483.099609375,15215.900390625,15376.7998046875,774377200
2015-04-26,15339.7998046875,15339.7998046875,15456.400390625,15192.5,15442.2998046875,938442400
2015-05-03,15170.0,15170.0,15416.599609375,14934.2998046875,15347.7001953125,1061431100
2015-05-10,15108.099609375,15108.099609375,15237.2001953125,14948.2998046875,15182.2001953125,873814800
2015-05-17,15200.7998046875,15200.7998046875,15230.7001953125,15051.7001953125,15115.7998046875,624238300
2015-05-24,15014.099609375,15014.099609375,15205.2998046875,14956.0,15192.599609375,764573600
2015-05-31,14957.2001953125,14957.2001953125,15182.2001953125,14946.0,15040.900390625,750267100
2015-06-07,14741.2001953125,14741.2001953125,14953.0,14687.0,14939.099609375,769797100
2015-06-14,14653.099609375,14653.099609375,14825.099609375,14584.400390625,14684.2001953125,1104568900
2015-06-21,14808.099609375,14808.099609375,14995.2998046875,14644.900390625,14644.900390625,758348000
2015-06-28,14682.400390625,14682.400390625,14738.5,14482.2001953125,14738.5,567699600
2015-07-05,14411.099609375,14411.099609375,14670.2998046875,14275.5,14594.599609375,900000100
2015-07-12,14642.7998046875,14642.7998046875,14748.0,14453.2998046875,14499.400390625,779088500
2015-07-19,14186.2001953125,14186.2001953125,14630.5,14145.2998046875,14630.5,913458100
2015-07-26,14468.400390625,14468.400390625,14501.599609375,13938.900390625,14101.0,987138800
2015-08-02,14302.7001953125,14302.7001953125,14622.400390625,14265.0,14465.7998046875,749150500
